10065309,f,,VL,Municipiul Ramnicu Valcea,2540813,13729380
10078511,f,,BH,Municipiul Oradea,4230487,13729380
10099816,x,,MH,Municipiul Drobeta Turnu Severin,4337344
10232989,f,,BR,Municipiul Braila,4205670,13729380
10478976,f,,AB,Comuna Jidvei,4934610,13729380
10661255,f,,BH,Municipiul Oradea,4230487,13729380
10815397,h,,DJ,Municipiul Craiova,13729380
10999338,f,,SV,Municipiul Suceava,4244792,13729380
11063136,f,,DB,Municipiul Targoviste,4279944,13729380
11065838,f,,PH,Municipiul Ploiesti,2844855,13729380
11132791,f,,SJ,Municipiul Zalau,4291786,13729380
11232952,d,,HR,Municipiul Miercurea Ciuc,4245747,13729380
11249709,f,,MM,Municipiul Baia Mare,3627692,13729380
11278445,q,,SB,Municipiul Sibiu,4266456
11286391,q,,VL,Municipiul Ramnicu Valcea,4266456
11287265,q,,BZ,Municipiul Buzau,4266456
11287567,q,,BV,Municipiul Brasov,4266456
11292024,q,,TM,Municipiul Timisoara,4266456
11293623,f,,IF,Orasul Magurele,13729380,4364500
11298345,q,,CL,Municipiul Calarasi,4266456
11301157,q,,AG,Municipiul Pitesti,4266456
11302934,o,,TM,Orasul Buzias,4266456
11305540,f,,HR,Municipiul Miercurea Ciuc,4245747,13729380
11308023,q,,MH,Municipiul Drobeta Turnu Severin,4266456
11308414,q,,PH,Municipiul Ploiesti,4266456
11314530,q,,GL,Municipiul Galati,4266456
11317889,q,,MM,Municipiul Baia Mare,4266456
11320086,q,,BN,Municipiul Bistrita,4266456
11321693,q,,BT,Municipiul Botosani,4266456
11325091,q,,VN,Municipiul Focsani,4266456
11327130,q,,VS,Municipiul Vaslui,4266456
11333620,q,,DJ,Municipiul Craiova,4266456
11334847,q,,GJ,Municipiul Targu Jiu,4266456
11342521,f,,AG,Municipiul Pitesti,4317967,13729380
11350290,f,,IS,Comuna Vladeni,4540216,13729380
11352967,f,,SV,Comuna Dumbraveni,4244210,13729380
11370190,z,,B,Sectorul 4 al Municipiului Bucuresti,4266669
11383661,2,1,MH,Comuna Breznita-Motru
11411672,p,,SB,Municipiul Sibiu,4270740
11424532,4,,B,Sectorul 6 al Municipiului Bucuresti
11445640,q,,B,Sectorul 1 al Municipiului Bucuresti,4266456
11460861,f,,IL,Municipiul Slobozia,4365352,13729380
11472262,q,,BR,Municipiul Braila,4266456
11632770,f,,IL,Municipiul Urziceni,4364942,13729380
11649357,a,,CV,Municipiul Sfantu Gheorghe,13729380
11690968,10,,TM,Municipiul Lugoj,13729380
11697800,k,,B,Sectorul 3 al Municipiului Bucuresti
12126500,2,1,CV,Comuna Valea Mare
12256879,a,,BC,Municipiul Bacau,13729380
12335018,1,,B,Sectorul 2 al Municipiului Bucuresti,4266669
12354176,1,,B,Sectorul 1 al Municipiului Bucuresti,13729380
12510925,f,,MM,Municipiul Baia Mare,13729380,3627692
12545575,d,,BH,Municipiul Oradea,13729380,4230487
12554654,2,1,CT,Comuna Costinesti
12555706,d,,BH,Municipiul Oradea,4230487,13729380
12555722,f,,BH,Municipiul Oradea,13729380,4230487
12555862,f,,BH,Municipiul Oradea,4230487,13729380
12560842,d,,BH,Municipiul Oradea,4230487,13729380
12567689,f,,BH,Municipiul Oradea,4230487,13729380
12581586,f,,BT,Municipiul Dorohoi,4112945,13729380
12583587,f,,BH,Municipiul Oradea,4230487,13729380
12583595,d,,BH,Comuna Sacadat,4784296,13729380
12599168,a,,SM,Municipiul Carei,13729380
12653879,e,,CJ,Municipiul Cluj-Napoca,4266456
12717166,d,,AG,Orasul Mioveni,4318199,13729380
12745352,f,,MM,Municipiul Baia Mare,13729380,3627692
12788760,d,,BH,Comuna Brusturi,13729380,4906059
12789782,d,,HR,Municipiul Gheorgheni,4245070,13729380
12812451,d,,HR,Comuna Sinsimion,13729380,4245909
12817394,a,,AB,Municipiul Alba Iulia,13729380
12828210,d,,AB,Orasul Cugir,5146873,13729380
12828229,d,,AB,Comuna Sibot,4562354,13729380
12828270,d,,AB,Comuna Ighiu,13729380,4562397
12831607,d,,HR,Orasul Balan,4367612,13729380
12831615,d,,HR,Comuna Plaiesii de Jos,4368090,13729380
12839660,d,,AB,Comuna Ohaba,4562400,13729380
12839678,d,,AB,Comuna Vintu De Jos,4562443,13729380
12839686,d,,AB,Comuna Salistea,4562001,13729380
12839724,d,,AB,Comuna Calnic,4561936,13729380
12841015,d,,AB,Comuna Hopirta,4561987,13729380
12841023,d,,AB,Comuna Lopadea Noua,13729380,4561995
12841252,d,,HR,Comuna Cirta,4246122,13729380
12846721,f,,HR,Comuna Lunca de Sus,4246220,13729380
